instrument 9  start 18.37571  duration 0.01250  amplitude 50  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.38821  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.38821  duration 0.01250  amplitude 49  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.40071  duration 0.01250  amplitude 49  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.41321  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.41321  duration 0.00000  amplitude 48  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.41321  duration 0.00000  amplitude 48  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.41321  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.41321  duration 0.00000  amplitude 47  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.41321  duration 0.00000  amplitude 47  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.41321  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.41321  duration 0.01250  amplitude 46  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.42571  duration 0.01250  amplitude 46  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.43821  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.43821  duration 0.01250  amplitude 45  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.43821  duration 0.01250  amplitude 45  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.45071  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.45071  duration 0.01250  amplitude 44  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.45071  duration 0.01250  amplitude 44  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.46321  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.46321  duration 0.01250  amplitude 43  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.47571  duration 0.01250  amplitude 43  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.48821  duration 0.00000  amplitude 0  pitch 6.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.48821  duration 0.01250  amplitude 42  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.50071  duration 0.01250  amplitude 42  pitch 68.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.51321  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.51321  duration 0.00000  amplitude 41  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.51321  duration 0.00000  amplitude 41  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.51322  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.51322  duration 0.01250  amplitude 40  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.52572  duration 0.01250  amplitude 40  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.53822  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.54447  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.55072  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.55697  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.56322  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.56947  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.57572  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.58197  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.58822  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.59447  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.60072  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.60697  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.61322  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.61947  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.62572  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.63197  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.63822  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.64447  duration 0.00625  amplitude 30  pitch 67  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.65072  duration 0.00625  amplitude 30  pitch 70  channel 0 ;   Player 1_70148393301380  
